BranchCode,SiteCode,FleetCode,CustomerCode,ModelCode,AssetName,SerialNumber,RegistrationCounter,ComponentCode,ModifierCode,TaskTypeCode,TaskCounterCode,StrategyTaskDescription,FrequencyValue,LifeToDateValue,PrimaryPartNumberCode,ActualPartNumberCode,SourceOfSupplyCode,StrategyUOMCode,StrategyUsageValue,LastStrategyUsageValue,StrategyDate,LastStrategyDate,SalesStatusCode,SalesLostReasonCode,SalesStatusCommentsNote,PurchaseOrderNumber
,,,,,,,217040,,,,,Steering Accumulator Rear,7500.0,10955.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Steering Accumulator Middle,7500.0,10955.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Steering Accumulator Front,7500.0,10955.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,WL6103 Fuel Cooler,5000.0,5017.0,,,,H,,16360.0,,,,,,
,,,,,,,217040,,,,,Hydraulic Tank,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Lube & Mechanical Services,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Transmission Transfer Case,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Torque Converter,5000.0,10927.0,,,,H,,10450.0,,,,,,
,,,,,,,217040,,,,,Pump Transmission,5000.0,5580.0,,,,H,,15797.0,,,,,,
,,,,,,,217040,,,,,Transmission Oil Cooler,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Trans System Hoses Lines and Fittings,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Transmission,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Linkage,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Lift Arm,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Lever,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Articulation,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Operators Seat,5000.0,1570.0,,,,H,,19807.0,,,,,,
,,,,,,,217040,,,,,Seat Belt,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Cabin Pressurisation System,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Air Conditioning Compressor,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Air Conditioning System,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Bucket Wear Elements GET,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Bucket,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Cylinder Steering RH,5000.0,12966.0,,,,H,,8411.0,,,,,,
,,,,,,,217040,,,,,Cylinder Steering LH,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Pump Secondary Steering,5000.0,2840.0,,,,H,,18537.0,,,,,,
,,,,,,,217040,,,,,Pumps Steering Centre,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Oil Cooler Steering,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Steering System Hoses Lines and Fittings,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Steering Controls,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Pump Hydraulic Imp  RHR,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Pump Hydraulic Axle Cooler,5000.0,21377.0,,,,H,,0.0,,,,,,
