BranchCode,SiteCode,FleetCode,CustomerCode,ModelCode,AssetName,SerialNumber,RegistrationCounter,ComponentCode,ModifierCode,TaskTypeCode,TaskCounterCode,StrategyTaskDescription,FrequencyValue,LifeToDateValue,PrimaryPartNumberCode,ActualPartNumberCode,SourceOfSupplyCode,StrategyUOMCode,StrategyUsageValue,LastStrategyUsageValue,StrategyDate,LastStrategyDate,SalesStatusCode,SalesLostReasonCode,SalesStatusCommentsNote,PurchaseOrderNumber
,,,,,,,217040,,,,,06H216 Machine Run Hours,0.0,0.0,,,,H,,89841.0,,,,,,
,,,,,,,217040,,,,,Brake Cylinder Front,0.0,77525.0,,,,H,,12316.0,,,,,,
,,,,,,,217040,,,,,Brake Cylinder Rear,0.0,84242.0,,,,H,,5599.0,,,,,,
,,,,,,,217040,,,,,Slack Adjuster Rear,0.0,69040.0,,,,H,,20801.0,,,,,,
,,,,,,,217040,,,,,Parking Brake,0.0,0.0,,,,H,,89841.0,,,,,,
,,,,,,,217040,,,,,Brake Calliper LHF,0.0,15691.0,,,,H,,74150.0,,,,,,
,,,,,,,217040,,,,,Brake Calliper RHF,0.0,25620.0,,,,H,,64221.0,,,,,,
,,,,,,,217040,,,,,Brake Disc LHF,0.0,23835.0,,,,H,,66006.0,,,,,,
,,,,,,,217040,,,,,Brake Disc RHF,0.0,23835.0,,,,H,,66006.0,,,,,,
,,,,,,,217040,,,,,Brake LHR,0.0,32310.0,,,,H,,57531.0,,,,,,
,,,,,,,217040,,,,,Brake RHR,0.0,32310.0,,,,H,,57531.0,,,,,,
,,,,,,,217040,,,,,Brake Air Relay Valve,0.0,87900.0,,,,H,,1941.0,,,,,,
,,,,,,,217040,,,,,Brake Cooling Diverter Valve,0.0,69040.0,,,,H,,20801.0,,,,,,
,,,,,,,217040,,,,,Brake Oil Cooler Relief Valve,0.0,0.0,,,,H,,89841.0,,,,,,
,,,,,,,217040,,,,,Brake Cooling Manifold,0.0,0.0,,,,H,,89841.0,,,,,,
,,,,,,,217040,,,,,Brake Treadle Control Valve,0.0,0.0,,,,H,,89841.0,,,,,,
,,,,,,,217040,,,,,Parking Brake Release Valve,0.0,0.0,,,,H,,89841.0,,,,,,
,,,,,,,217040,,,,,Engine,0.0,82817.0,,,,H,,7024.0,,,,,,
,,,,,,,217040,,,,,Engine Radiator,0.0,82817.0,,,,H,,7024.0,,,,,,
,,,,,,,217040,,,,,Water Temperature Regulators,0.0,82817.0,,,,H,,7024.0,,,,,,
,,,,,,,217040,,,,,Engine Oil Cooler,0.0,68323.0,,,,H,,21518.0,,,,,,
,,,,,,,217040,,,,,Engine Oil Pump,0.0,68323.0,,,,H,,21518.0,,,,,,
,,,,,,,217040,,,,,Pre-Start Lubrication System,0.0,34384.0,,,,H,,55457.0,,,,,,
,,,,,,,217040,,,,,Fuel Injector,0.0,82817.0,,,,H,,7024.0,,,,,,
,,,,,,,217040,,,,,Primary Fuel Pump,0.0,82817.0,,,,H,,7024.0,,,,,,
,,,,,,,217040,,,,,After Cooler,0.0,34512.0,,,,H,,55329.0,,,,,,
,,,,,,,217040,,,,,Air Compressor,0.0,68323.0,,,,H,,21518.0,,,,,,
,,,,,,,217040,,,,,Turbocharger LH,0.0,82817.0,,,,H,,7024.0,,,,,,
,,,,,,,217040,,,,,Turbocharger RH,0.0,82817.0,,,,H,,7024.0,,,,,,
,,,,,,,217040,,,,,Water Pump Auxiliary,0.0,82817.0,,,,H,,7024.0,,,,,,
,,,,,,,217040,,,,,Water Pump Main,0.0,82817.0,,,,H,,7024.0,,,,,,
,,,,,,,217040,,,,,Hub & Spindle LH,0.0,73713.0,,,,H,,16128.0,,,,,,
,,,,,,,217040,,,,,Hub & Spindle RH,0.0,74071.0,,,,H,,15770.0,,,,,,
